predictive (performance estimation): analysis of results;not done (0pontos)[x];- (1pontos);incorrect analysis of values for comparison (3pontos);- (5pontos);correct analysis of values for comparison, including informal discussion of statistical significance (7pontos);correct analysis of values for comparison, including tests for statistical significance (9pontos);beyond expectations (10pontos)
predictive: model improvement;not done (0pontos)[x];1 iteration, involving a limited set of experiments (1pontos);- (3pontos);random set of experiments, without concern for pedagogical goals (5pontos);random set of experiments, with total focus on pedagogical goals (7pontos);development guided by performance improvement goals, even if pedagogical goals were not ignored) (9pontos);beyond expectations (10pontos)
predictive: feature importance;not done (0pontos)[x];- (1pontos);interpreted incorrectly, without relating to application domain (3pontos);interpreted incorrectly, relating to application domain (5pontos);interpreted correctly , without relating to application domain (7pontos);interpreted correctly, relating to application domain (9pontos);beyond expectations (10pontos)
predictive: analysis of "white-box" models;not done (0pontos)[x];- (1pontos);interpreted incorrectly, without relating to application domain (3pontos);interpreted incorrectly, relating to application domain (5pontos);interpreted correctly , without relating to application domain (7pontos);interpreted correctly, relating to application domain (9pontos);beyond expectations (10pontos)
project management: methodology;not done (0pontos)[x];- (1pontos);a methodology was mentioned but the development of the project didn't seem to follow it (3pontos);the main steps of a methodology were followed loosely (5pontos);- (7pontos);a methodology was followed carefully, reflecting on the documentation produced (9pontos);beyond expectations (10pontos)
project management: plan;not done (0pontos);- (1pontos);a plan was created but there was no concern to follow it (3pontos);a rough plan was created and it guided the development (5pontos)[x];- (7pontos);a detailed plan was created and it guided the development (9pontos);beyond expectations (10pontos)
project management: PM tools;not done (0pontos);simple,coarse task sharing (1pontos);- (2pontos);detailed task sharing, not supported by appropriate management tool (3pontos);- (4pontos)[x];detailed task sharing, supported by appropriate management tool (4.5pontos);beyond expectations (10pontos)
project management tools: collaboration tools;not done (0pontos);complex, unreliable data and workflow sharing (1pontos);easy communication and unreliable data and workflow sharing (2pontos);reasonable collaboration with simple collaboration tools (3pontos);easy communication and documentation, and reasonable collaboration with simple tools (4pontos);easy collaboration (communication, data, workflows and documentation) (4.5pontos)[x];beyond expectations (10pontos)
tools: analytics;not done (0pontos);- (1pontos);1 tool, from the ones presented in the courses (3pontos)[x];- (5pontos);- (7pontos);multiple tools, from the ones presented in the courses (9pontos);beyond expectations (10pontos)
tools: database;not done (0pontos)[x];only as master (1pontos);- (3pontos);used for simple data preparation operations (5pontos);- (7pontos);extensive use for efficient data exploration and preparation (9pontos);beyond expectations (10pontos)
tools: other tools (e.g. data cleaning, visualization);not done (0pontos)[x];- (1pontos);unsuitable use of other tools (3pontos);- (5pontos);limited but correct use of other tools (7pontos);extensive and correct use of other tools (9pontos);beyond expectations (10pontos)
presentation: quality of layout;not done (0pontos)[x];hard to understand (1pontos);- (3pontos);simple OR clear (5pontos);- (7pontos);simple AND clear (9pontos);beyond expectations (10pontos)
presentation: quality of content in slides;not done (0pontos)[x];extremely incomplete or excessive (1pontos);- (3pontos);incomplete or too much content (5pontos);- (7pontos);to the point (9pontos);beyond expectations (10pontos)
presentation: delivery;not done (0pontos)[x];confusing (1pontos);- (3pontos);clear OR with confidence (5pontos);- (7pontos);clear AND with confidence (9pontos);beyond expectations (10pontos)
presentation: use of time;not done (0pontos)[x];extremely long  or insufficent for evaluation (1pontos);- (3pontos);slight too long or significantly too short (5pontos);- (7pontos);to the point (9pontos);beyond expectations (10pontos)

