"account_id","only_na_account","min_balance","mean_balance","max_balance"
5698,0,20513.4,57118.268,124071.7
5724,0,9894.8,37030.6322580645,76815.9
5837,1,800,52359.9263157895,120639.2
5912,0,15866.4,36301.3321428571,65517.7
5944,0,26203.4,47780.41875,60490.4
6061,0,22417,47093.7541666667,62960.6
6062,0,700,54222.36875,114077.2
6075,1,-1449.6,15463.5350877193,29696.8
6083,1,500,49970.5659090909,135384
6097,1,9014,29281.95,37647.8
6138,0,17205.7,31707.2,50365.4
6157,0,1000,53448.5208955224,110892.1
6158,1,16300,24543.1333333333,31595.5
6265,0,200,64772.676,134714
6440,1,22824.5,73705.9636363636,121367.5
6453,0,12535.9,23553.8645833333,31884.9
6461,1,700,54889.0419354839,110071.3
6495,0,500,41274.7853658537,67027.5
6505,1,800,40809.4210526316,92238
6510,1,27024,62261.5227272727,107017
6592,0,300,65318.1793650794,164909.5
6649,1,2491.6,38384.63,88954.6
6678,1,1100,59741.2056338028,129327.8
6686,0,17421.8,41984.9869565217,79849.6
6699,0,400,30205.319047619,50481
6706,0,200,42667.4127272727,67060
6792,0,400,28396.2681818182,40773.2
6856,0,321,29208.746969697,72373.1
6902,0,900,35607.1833333333,49729.2
6922,0,1100,46092.361971831,95976
6950,1,700,28342.9833333333,57297.3
7045,0,33092,45738.2285714286,52850.4
7049,0,600,39275.9333333333,84674.1
7052,0,10960,23060.3714285714,39052.7
7082,0,900,26770.8759259259,44027.8
7099,0,3884.1,43817.2742857143,79993.7
7156,0,36517.7,50422.1411764706,67712.3
7176,0,400,39995.0382352941,72580.1
7180,0,700,39001.5409090909,79967.9
7181,0,14774.3,43886.0656565657,100692.6
7240,0,11836.9,29540.0615384615,47485.7
7262,0,18003,31301.6,48808.2
7274,0,25180.7,51964.875,105561
7424,0,900,64033.4957142857,116439
7437,0,13067.8,32614.1166666667,49391.1
7542,0,300,28802.6585714286,45146
7559,0,10154,29048.8936507937,42247.1
7565,0,300,35977.9955882353,65101.8
7594,0,1000,54997.2904109589,123929.5
7632,0,1000,37637.2070175439,73025.1
7636,0,18158.4,44298.0724637681,104962.4
7637,1,24162.5,49874.0714285714,75678
7674,0,16723.7,62837.2888888889,104487.6
7713,0,600,37355.7387096774,99990.9
7721,0,1000,39447.1740740741,80996.4
7733,0,200,67414.4203703704,106908.5
7745,0,10163.4,42841.8055555556,122450.5
7890,0,13993,24871.56,33217
7894,0,22447.7,61684.87,128009.6
7907,0,200,44809.9347826087,127421.2
7957,0,500,55023.6724637681,145165.5
7966,1,25746.5,53722.9421052632,109736.4
7990,0,20445,64202.2935185185,144853.8
7997,1,400,59699.4758064516,173151
8026,1,700,40006.98,51227.9
8038,0,22616,54475.3794117647,81244.2
8085,0,3869.3,34087.2,89341.8
8094,0,600,64813.3571428571,101980.2
8114,0,600,38008.5282051282,60342.5
8158,0,26494.6,63458.0686567164,113002.5
8169,0,700,22947.4925925926,46398.6
8225,0,1100,29992.318,55862.8
8268,0,400,24188.3228571429,45336.9
8320,0,28967,40994,67678.3
8381,0,16000,61632.0643835616,114446.1
8505,1,1100,36648.5648648649,57767.4
8523,0,400,53953.3487179487,104865.3
8639,0,400,28676.6411764706,59523.5
8645,0,700,24995.6911111111,59731.2
8688,1,400,29990.6,55705.9
8713,0,400,25987.6361111111,45603
8742,0,17564,34979.0357142857,61770.9
8772,0,4608.3,16619.0295454545,36771.4
8784,0,1100,46698.3457142857,93736.6
8919,0,1000,20395.7424242424,33767.8
8926,0,200,36456.8105263158,61992.7
8931,0,12681.2,67014.6431372549,170682.8
9031,1,900,52719.69,102693.8
9037,0,400,31048.4394495413,62516.8
9052,1,-8245.1,42724.6261538462,96798.2
9138,0,1100,34612.1590909091,90424.7
9140,0,12976.1,22628.0376811594,47871.9
9153,0,8163,31308.4736842105,48645
9156,1,2777,30789.4058823529,69553.7
9159,0,16973.6,39970.9467625899,66365.3
9167,0,500,43937.78,104227.6
9179,0,19201.2,38642.1304347826,71196.6
9201,0,19828.9,50335.8126760563,106089.9
9208,0,1100,36189.4972222222,66176.1
9225,1,601.4,41563.8416666667,116637.5
9227,0,900,18774.2315789474,27990
9235,1,700,39816.3380952381,69424.9
9241,0,1100,48394.747826087,89240.1
9242,1,200,36966.335,48344
9263,0,700,31624.5797101449,64870.4
9353,0,900,47340.1133333333,125455
9377,0,400,54427.55,111406.5
9424,0,500,28805.515625,53379.4
9433,1,600,41566.8255813954,65444.3
9455,0,1000,56280.1661538462,102667.1
9491,0,800,55723.3786407767,103864.6
9494,0,400,22664.092,40595.5
9504,0,700,49218.2117647059,110020.6
9513,0,11342.8,29340.8066666667,53614.7
9560,1,400,38742.9238095238,88837.6
9631,0,200,28648.0575,58353.9
9633,1,-3335.6,40866.1033898305,119012.4
9646,1,300,45423.2846153846,101553.9
9673,0,1100,37145.3121212121,60161.5
9677,0,500,28090.38125,45836.3
9730,0,900,28990.3846153846,42494.9
9859,0,12400,51383.0774193548,95802.8
10005,0,200,55672.8631578947,87392.9
10022,0,34904.8,54537.2769230769,73421.3
10049,0,4635,17637.3735849057,29167.6
10063,0,21665.8,57695.604,105024.8
10065,1,1100,77717.0590909091,138989
10068,1,26035,68687.375,86372.9
10134,0,600,53306.3761904762,119446.2
10148,0,21462.2,44961.6826086956,56876
10202,0,300,48790.7573770492,120227.9
10215,0,14611,43067.371875,58281.2
10233,0,500,37413.0975,77714.9
10243,1,17465.7,71231.7236842105,121411.8
10257,0,900,50658.3287356322,126763.3
10280,0,600,57214.0527272727,111159.5
10345,0,1000,24663.1161764706,46698.9
10351,0,800,18883.2803030303,31888.3
10361,0,500,55752.9875,100082.8
10365,0,-714.9,31685.4646153846,88731.8
10404,0,300,48291.7795180723,77920.1
10445,0,12363.9,54940.8661016949,84924.1
10478,1,5691.7,67427.364,135645.7
10493,0,300,48831.675,83556.1
10613,0,17279.3,56017.4941176471,87615.2
10644,0,400,63047.7393939394,120646.8
10645,0,25235.3,62072.5581395349,124697.4
10650,0,48834.6,71494,114320
10652,0,700,45377.0025641026,87185.5
10679,0,47976,55112.875,62345.9
10711,0,1100,80836.847826087,97336.5
10774,0,6593,29539.0027777778,38805.8
10789,0,2885.5,55683.3361111111,121977.5
10799,1,5711,28548.6185185185,37613.5
10807,0,600,48718.6457142857,92407.6
10812,1,300,51861.7564102564,105889.7
10857,1,700,32074.6095238095,65960.5
10905,0,14722,42602.65,53271.2
10915,0,600,21204.8421052632,52438
10954,1,300,41274.6588235294,58660.4
11027,0,18969.5,33723.5945945946,51009.5
11069,1,21861.2,44717.8113924051,78430.8
11079,0,300,66662.6166666667,125191.7
11096,0,800,34430.8714285714,64468.6
11141,1,200,51354.7058823529,96459.1
11231,0,25705.7,62905.3657894737,109529.5
11244,0,13171.8,48693.2387096774,108538.5
11271,0,200,26597.2307692308,42110.2
11317,0,17563.5,64903.1616438356,122684.5
11327,0,300,48409.9842105263,67504.2
11328,1,11889.3,35759.2448275862,68777.6
